source,fichier_web,DateTimeOriginal,date_contextuelle,justification_date,fuseau,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,action,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web
DSC06317.jpg,georgie-svanetie-passage-village-skieurs-13.jpg,2024:04:09 14:11:50,2024-04-09 14:11:50,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0694132,42.6261849,2,élevée,vallée de Becho et Mazeri,traversée d’un village à ski,Traversée d’un village à ski — vallée de Becho et Mazeri,"Skieurs passant entre les maisons et les animaux, vallée de Becho et Mazeri, pendant une traversée à ski en Haute-Svanétie.",Traversée d’un village à ski pendant la traversée à ski de la Haute-Svanétie.,"Skieurs passant entre les maisons et les animaux. Point GPX le plus proche temporellement : 43.069413, 42.626185, avec un écart de 2 secondes.",True,1425134,738562
DSC06016_1.jpg,georgie-svanetie-skieur-crete-neige-14.jpg,2024:04:09 07:15:44,2024-04-09 07:15:44,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0819179,42.7110395,0,élevée,secteur de Mestia,skieur sur une crête neigeuse,Skieur sur une crête neigeuse — secteur de Mestia,"Skieur progressant sur le fil d’une crête, secteur de Mestia, pendant une traversée à ski en Haute-Svanétie.",Skieur sur une crête neigeuse pendant la traversée à ski de la Haute-Svanétie.,"Skieur progressant sur le fil d’une crête. Point GPX le plus proche temporellement : 43.081918, 42.711039, avec un écart de 0 secondes.",True,545737,241398
DSC05941 (1).jpg,georgie-svanetie-groupe-ski-alpenglow-15.jpg,2024:04:09 06:25:27,2024-04-09 06:25:27,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0673789,42.7207435,0,élevée,secteur de Mestia,groupe à ski sous les sommets roses,Groupe à ski sous les sommets roses — secteur de Mestia,"Skieurs avançant au soleil couchant, secteur de Mestia, pendant une traversée à ski en Haute-Svanétie.",Groupe à ski sous les sommets roses pendant la traversée à ski de la Haute-Svanétie.,"Skieurs avançant au soleil couchant. Point GPX le plus proche temporellement : 43.067379, 42.720743, avec un écart de 0 secondes.",True,932791,389417
DSC05865_1.jpg,georgie-svanetie-materiel-ski-balcon-16.jpg,2024:04:08 18:44:46,2024-04-08 18:44:46,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0668323,42.723663,21544,faible,secteur de Mestia,matériel de ski sur un balcon,Matériel de ski sur un balcon — secteur de Mestia,"Skis et équipement posés face aux montagnes, secteur de Mestia, pendant une traversée à ski en Haute-Svanétie.",Matériel de ski sur un balcon pendant la traversée à ski de la Haute-Svanétie.,"Skis et équipement posés face aux montagnes. Point GPX le plus proche temporellement : 43.066832, 42.723663, avec un écart de 21544 secondes.",True,809703,389077
DSC05860 (1).jpg,georgie-svanetie-toast-groupe-guesthouse-17.jpg,2024:04:08 18:28:20,2024-04-08 18:28:20,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0668323,42.723663,20558,faible,secteur de Mestia,toast dans une guesthouse,Toast dans une guesthouse — secteur de Mestia,"Compagnons levant leurs verres autour de la table, secteur de Mestia, pendant une traversée à ski en Haute-Svanétie.",Toast dans une guesthouse pendant la traversée à ski de la Haute-Svanétie.,"Compagnons levant leurs verres autour de la table. Point GPX le plus proche temporellement : 43.066832, 42.723663, avec un écart de 20558 secondes.",True,905675,405831
DSC05844 (1).jpg,georgie-svanetie-service-repas-georgien-18.jpg,2024:04:08 17:41:40,2024-04-08 17:41:40,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0668323,42.723663,17758,faible,secteur de Mestia,service du repas,Service du repas — secteur de Mestia,"Hôte apportant un plat dans la salle commune, secteur de Mestia, pendant une traversée à ski en Haute-Svanétie.",Service du repas pendant la traversée à ski de la Haute-Svanétie.,"Hôte apportant un plat dans la salle commune. Point GPX le plus proche temporellement : 43.066832, 42.723663, avec un écart de 17758 secondes.",True,793591,376331
DSC05789.jpg,georgie-svanetie-chalet-neige-montagne-19.jpg,2024:04:08 12:12:08,2024-04-08 12:12:08,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0667132,42.725988,1,élevée,secteur de Mestia,chalet isolé dans la neige,Chalet isolé dans la neige — secteur de Mestia,"Bâtiment de montagne au milieu d’un vaste manteau neigeux, secteur de Mestia, pendant une traversée à ski en Haute-Svanétie.",Chalet isolé dans la neige pendant la traversée à ski de la Haute-Svanétie.,"Bâtiment de montagne au milieu d’un vaste manteau neigeux. Point GPX le plus proche temporellement : 43.066713, 42.725988, avec un écart de 1 secondes.",True,628990,270919
DSC05763 (1).jpg,georgie-svanetie-village-face-montagnes-20.jpg,2024:04:08 09:32:42,2024-04-08 09:32:42,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0493368,42.7369841,140,élevée,secteur de Mestia,village au pied des montagnes,Village au pied des montagnes — secteur de Mestia,"Maisons de svanétie dominées par les versants enneigés, secteur de Mestia, pendant une traversée à ski en Haute-Svanétie.",Village au pied des montagnes pendant la traversée à ski de la Haute-Svanétie.,"Maisons de svanétie dominées par les versants enneigés. Point GPX le plus proche temporellement : 43.049337, 42.736984, avec un écart de 140 secondes.",True,901120,427504
DSC05761 (1).jpg,georgie-svanetie-tours-svanes-nuit-21.jpg,2024:04:07 19:52:48,2024-04-07 19:52:48,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0430916,42.7393854,1,élevée,secteur de Mestia,tours svanes dans la nuit,Tours svanes dans la nuit — secteur de Mestia,"Village et tours médiévales éclairés à la nuit tombée, secteur de Mestia, pendant une traversée à ski en Haute-Svanétie.",Tours svanes dans la nuit pendant la traversée à ski de la Haute-Svanétie.,"Village et tours médiévales éclairés à la nuit tombée. Point GPX le plus proche temporellement : 43.043092, 42.739385, avec un écart de 1 secondes.",True,870377,382686
DSC05688 (1).jpg,georgie-svanetie-rencontre-habitants-village-22.jpg,2024:04:07 17:11:50,2024-04-07 17:11:50,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0509801,42.8183161,2,élevée,vallée de Mulakhi et Zhabeshi,rencontre avec des habitants,Rencontre avec des habitants — vallée de Mulakhi et Zhabeshi,"Deux habitants posant devant les montagnes, vallée de Mulakhi et Zhabeshi, pendant une traversée à ski en Haute-Svanétie.",Rencontre avec des habitants pendant la traversée à ski de la Haute-Svanétie.,"Deux habitants posant devant les montagnes. Point GPX le plus proche temporellement : 43.050980, 42.818316, avec un écart de 2 secondes.",True,938977,450307
DSC05552.jpg,georgie-svanetie-enfants-village-23.jpg,2024:04:07 14:46:26,2024-04-07 14:46:26,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0463285,42.867098,2,élevée,vallée de Mulakhi et Zhabeshi,enfants dans le village,Enfants dans le village — vallée de Mulakhi et Zhabeshi,"Enfants jouant près d’un mur de pierre, vallée de Mulakhi et Zhabeshi, pendant une traversée à ski en Haute-Svanétie.",Enfants dans le village pendant la traversée à ski de la Haute-Svanétie.,"Enfants jouant près d’un mur de pierre. Point GPX le plus proche temporellement : 43.046329, 42.867098, avec un écart de 2 secondes.",True,1217225,570541
DSC05369 (1).jpg,georgie-svanetie-ski-arete-panorama-24.jpg,2024:04:07 12:42:49,2024-04-07 12:42:49,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0320689,42.9351641,2,élevée,secteur d’Adishi et du Tetnuldi,progression à ski sur une arête,Progression à ski sur une arête — secteur d’Adishi et du Tetnuldi,"Skieur avançant sur une arête panoramique, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Progression à ski sur une arête pendant la traversée à ski de la Haute-Svanétie.,"Skieur avançant sur une arête panoramique. Point GPX le plus proche temporellement : 43.032069, 42.935164, avec un écart de 2 secondes.",True,851903,400945
DSC05272 (1).jpg,georgie-svanetie-massif-enneige-svanetie-25.jpg,2024:04:07 11:46:15,2024-04-07 11:46:15,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.032171,42.939695,1,élevée,secteur d’Adishi et du Tetnuldi,massif enneigé de Svanétie,Massif enneigé de svanétie — secteur d’Adishi et du Tetnuldi,"Grand sommet glaciaire sous un ciel bleu, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Massif enneigé de svanétie pendant la traversée à ski de la Haute-Svanétie.,"Grand sommet glaciaire sous un ciel bleu. Point GPX le plus proche temporellement : 43.032171, 42.939695, avec un écart de 1 secondes.",True,791109,377186
DSC05124 (1).jpg,georgie-svanetie-groupe-ski-crete-26.jpg,2024:04:07 10:38:53,2024-04-07 10:38:53,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0288311,42.9349778,1,élevée,secteur d’Adishi et du Tetnuldi,groupe à ski sur une crête,Groupe à ski sur une crête — secteur d’Adishi et du Tetnuldi,"Skieurs suivant la trace sur une crête aérienne, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Groupe à ski sur une crête pendant la traversée à ski de la Haute-Svanétie.,"Skieurs suivant la trace sur une crête aérienne. Point GPX le plus proche temporellement : 43.028831, 42.934978, avec un écart de 1 secondes.",True,656654,304267
DSC04911 (1).jpg,georgie-svanetie-portage-skis-maison-27.jpg,2024:04:07 07:36:31,2024-04-07 07:36:31,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9967913,42.9138203,920,moyenne,secteur d’Adishi et du Tetnuldi,portage des skis devant une maison,Portage des skis devant une maison — secteur d’Adishi et du Tetnuldi,"Skieur portant ses skis devant une habitation, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Portage des skis devant une maison pendant la traversée à ski de la Haute-Svanétie.,"Skieur portant ses skis devant une habitation. Point GPX le plus proche temporellement : 42.996791, 42.913820, avec un écart de 920 secondes.",True,980544,457370
DSC04815.jpg,georgie-svanetie-repas-chez-habitants-28.jpg,2024:04:06 14:43:27,2024-04-06 14:43:27,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9967513,42.9136699,6984,faible,secteur d’Adishi et du Tetnuldi,repas chez l’habitant,Repas chez l’habitant — secteur d’Adishi et du Tetnuldi,"Compagnons attablés dans une pièce chaleureuse, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Repas chez l’habitant pendant la traversée à ski de la Haute-Svanétie.,"Compagnons attablés dans une pièce chaleureuse. Point GPX le plus proche temporellement : 42.996751, 42.913670, avec un écart de 6984 secondes.",True,688799,302543
DSC04763.jpg,georgie-svanetie-portage-skis-village-29.jpg,2024:04:06 12:16:54,2024-04-06 12:16:54,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9978618,42.9146262,2,élevée,secteur d’Adishi et du Tetnuldi,portage des skis dans le village,Portage des skis dans le village — secteur d’Adishi et du Tetnuldi,"Skieurs portant leur matériel entre les maisons, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Portage des skis dans le village pendant la traversée à ski de la Haute-Svanétie.,"Skieurs portant leur matériel entre les maisons. Point GPX le plus proche temporellement : 42.997862, 42.914626, avec un écart de 2 secondes.",True,1057108,514892
DSC04687 (1).jpg,georgie-svanetie-vaches-maison-pierre-30.jpg,2024:04:06 11:46:52,2024-04-06 11:46:52,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.996291,42.9199772,1,élevée,secteur d’Adishi et du Tetnuldi,vaches devant une maison de pierre,Vaches devant une maison de pierre — secteur d’Adishi et du Tetnuldi,"Bétail conduit dans une ruelle du village, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Vaches devant une maison de pierre pendant la traversée à ski de la Haute-Svanétie.,"Bétail conduit dans une ruelle du village. Point GPX le plus proche temporellement : 42.996291, 42.919977, avec un écart de 1 secondes.",True,1307546,624069
DSC04549.jpg,georgie-svanetie-traversee-ski-foret-31.jpg,2024:04:06 10:58:39,2024-04-06 10:58:39,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9846823,42.9578165,2,élevée,secteur d’Adishi et du Tetnuldi,traversée à ski au pied de la forêt,Traversée à ski au pied de la forêt — secteur d’Adishi et du Tetnuldi,"Groupe avançant dans un vallon enneigé, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Traversée à ski au pied de la forêt pendant la traversée à ski de la Haute-Svanétie.,"Groupe avançant dans un vallon enneigé. Point GPX le plus proche temporellement : 42.984682, 42.957816, avec un écart de 2 secondes.",True,954083,482543
DSC04358.jpg,georgie-svanetie-descente-ski-vallon-32.jpg,2024:04:06 09:59:24,2024-04-06 09:59:24,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9782988,42.9848267,2,élevée,secteur d’Adishi et du Tetnuldi,descente à ski dans un vallon,Descente à ski dans un vallon — secteur d’Adishi et du Tetnuldi,"Skieur descendant une grande pente poudreuse, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Descente à ski dans un vallon pendant la traversée à ski de la Haute-Svanétie.,"Skieur descendant une grande pente poudreuse. Point GPX le plus proche temporellement : 42.978299, 42.984827, avec un écart de 2 secondes.",True,678754,315979
DSC04335.jpg,georgie-svanetie-virage-ski-poudreuse-33.jpg,2024:04:06 09:55:12,2024-04-06 09:55:12,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9783318,42.9846144,0,élevée,secteur d’Adishi et du Tetnuldi,virage en neige poudreuse,Virage en neige poudreuse — secteur d’Adishi et du Tetnuldi,"Skieur déclenchant un virage dans la neige légère, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Virage en neige poudreuse pendant la traversée à ski de la Haute-Svanétie.,"Skieur déclenchant un virage dans la neige légère. Point GPX le plus proche temporellement : 42.978332, 42.984614, avec un écart de 0 secondes.",True,668762,307330
DSC04273.jpg,georgie-svanetie-groupe-ski-crete-caucase-34.jpg,2024:04:06 09:40:36,2024-04-06 09:40:36,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9770726,42.9820377,2,élevée,secteur d’Adishi et du Tetnuldi,groupe sur une crête du Caucase,Groupe sur une crête du caucase — secteur d’Adishi et du Tetnuldi,"Skieurs progressant devant les grands sommets, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Groupe sur une crête du caucase pendant la traversée à ski de la Haute-Svanétie.,"Skieurs progressant devant les grands sommets. Point GPX le plus proche temporellement : 42.977073, 42.982038, avec un écart de 2 secondes.",True,817152,385968
DSC04210 (1).jpg,georgie-svanetie-panorama-sommets-caucase-35.jpg,2024:04:06 09:36:45,2024-04-06 09:36:45,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9770726,42.9820377,2,élevée,secteur d’Adishi et du Tetnuldi,panorama sur les sommets du Caucase,Panorama sur les sommets du caucase — secteur d’Adishi et du Tetnuldi,"Reliefs glaciaires dominant une arête neigeuse, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Panorama sur les sommets du caucase pendant la traversée à ski de la Haute-Svanétie.,"Reliefs glaciaires dominant une arête neigeuse. Point GPX le plus proche temporellement : 42.977073, 42.982038, avec un écart de 2 secondes.",True,928224,457774
DSC04072 (1).jpg,georgie-svanetie-ski-randonnee-avec-chien-36.jpg,2024:04:06 08:49:55,2024-04-06 08:49:55,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9723631,42.9798642,2,élevée,secteur d’Adishi et du Tetnuldi,montée à ski accompagnée d’un chien,Montée à ski accompagnée d’un chien — secteur d’Adishi et du Tetnuldi,"Skieur et chien progressant sur la trace, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Montée à ski accompagnée d’un chien pendant la traversée à ski de la Haute-Svanétie.,"Skieur et chien progressant sur la trace. Point GPX le plus proche temporellement : 42.972363, 42.979864, avec un écart de 2 secondes.",True,763679,355155
DSC03755 (1).jpg,georgie-svanetie-cabane-bois-sous-neige-37.jpg,2024:04:05 18:02:10,2024-04-05 18:02:10,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9678438,42.9890101,23255,faible,secteur d’Adishi et du Tetnuldi,cabane en bois sous la neige,Cabane en bois sous la neige — secteur d’Adishi et du Tetnuldi,"Petite cabane et chien pendant une chute de neige, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Cabane en bois sous la neige pendant la traversée à ski de la Haute-Svanétie.,"Petite cabane et chien pendant une chute de neige. Point GPX le plus proche temporellement : 42.967844, 42.989010, avec un écart de 23255 secondes.",True,803283,341842
DSC03584 (1).jpg,georgie-svanetie-pause-groupe-cabane-38.jpg,2024:04:05 15:08:57,2024-04-05 15:08:57,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9678438,42.9890101,12862,faible,secteur d’Adishi et du Tetnuldi,pause du groupe dans une cabane,Pause du groupe dans une cabane — secteur d’Adishi et du Tetnuldi,"Skieurs réunis à l’intérieur de l’abri, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Pause du groupe dans une cabane pendant la traversée à ski de la Haute-Svanétie.,"Skieurs réunis à l’intérieur de l’abri. Point GPX le plus proche temporellement : 42.967844, 42.989010, avec un écart de 12862 secondes.",True,977232,466983
DSC03553.jpg,georgie-svanetie-repos-sacs-couchage-39.jpg,2024:04:05 12:32:39,2024-04-05 12:32:39,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9678438,42.9890101,3484,faible,secteur d’Adishi et du Tetnuldi,repos en sacs de couchage,Repos en sacs de couchage — secteur d’Adishi et du Tetnuldi,"Deux skieurs allongés après l’étape, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Repos en sacs de couchage pendant la traversée à ski de la Haute-Svanétie.,"Deux skieurs allongés après l’étape. Point GPX le plus proche temporellement : 42.967844, 42.989010, avec un écart de 3484 secondes.",True,872518,406048
DSC03546.jpg,georgie-svanetie-groupe-devant-cabane-40.jpg,2024:04:05 11:48:20,2024-04-05 11:48:20,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,42.9678438,42.9890101,825,moyenne,secteur d’Adishi et du Tetnuldi,groupe devant une cabane,Groupe devant une cabane — secteur d’Adishi et du Tetnuldi,"Skieurs rassemblés devant un petit abri enneigé, secteur d’Adishi et du Tetnuldi, pendant une traversée à ski en Haute-Svanétie.",Groupe devant une cabane pendant la traversée à ski de la Haute-Svanétie.,"Skieurs rassemblés devant un petit abri enneigé. Point GPX le plus proche temporellement : 42.967844, 42.989010, avec un écart de 825 secondes.",True,783909,355183
