fichier_retouche,id_drive_source,DateTimeOriginal,timestamp_GPX,ecart_s,latitude,longitude,altitude_m,toponyme_secteur,fichier_SEO,titre,texte_ALT,legende,description,confiance
DSC09874 (1) (2026-05-16T13_40_51.487).jpg,12z7Zv-MzJyTM-pqY7A1rNfXkUQHi7GdN,2026:02:22 14:41:22 +01:00,2026-02-22T13:41:20Z,2,39.561973,21.169645,1231,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-village-de-montagne-grece-11.jpg,Village de montagne — Tzoumerka — secteur Theodoriana,"Village de montagne, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Village de montagne dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : village de montagne, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC09957 (1).jpg,1p_gTVlTvaimdnQHlmP1NO5PIM9AlSTih,2026:02:22 15:47:11 +01:00,2026-02-22T14:47:10Z,1,39.566404,21.152587,957,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-passage-sur-escalier-de-pierre-grece-12.jpg,Passage sur escalier de pierre — Tzoumerka — secteur Theodoriana,"Passage sur escalier de pierre, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Passage sur escalier de pierre dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : passage sur escalier de pierre, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC09890 (1).jpg,1EhqDLuzUugRPD3AfM88aSj0bOShYxVgB,2026:02:22 15:12:21 +01:00,2026-02-22T14:12:24Z,3,39.566718,21.161892,1052,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-eglise-de-village-grece-13.jpg,Eglise de village — Tzoumerka — secteur Theodoriana,"Eglise de village, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Eglise de village dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : eglise de village, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC01563 (1).jpg,1ECJS9MvR5s_FeRO2gSU1kIDjuGU9yRm7,2026:02:27 19:54:26 +01:00,2026-02-27T15:14:32Z,13194,40.103370,21.022315,1401,Pinde — Smolikas et Pades,pinde-smolikas-pades-cuisinier-au-refuge-grece-14.jpg,Cuisinier au refuge — Pinde — Smolikas et Pades,"Cuisinier au refuge, pinde — smolikas et pades, lors d’une itinérance à ski en Grèce.",Cuisinier au refuge dans les montagnes du pinde — smolikas et pades.,"Itinérance à ski en Grèce : cuisinier au refuge, dans le secteur pinde — smolikas et pades.",moyenne
DSC01528 (2).jpg,1HJeD1dLo04ZjCS0Cop0aewY6P0ZzlFqt,2026:02:27 14:36:32 +01:00,2026-02-27T13:36:30Z,2,40.074207,21.028061,1186,Pinde — Smolikas et Pades,pinde-smolikas-pades-pin-montagnard-grece-15.jpg,Pin montagnard — Pinde — Smolikas et Pades,"Pin montagnard, pinde — smolikas et pades, lors d’une itinérance à ski en Grèce.",Pin montagnard dans les montagnes du pinde — smolikas et pades.,"Itinérance à ski en Grèce : pin montagnard, dans le secteur pinde — smolikas et pades.",forte
DSC01425 (1).jpg,1B5e7j84pXHHD3Ev1PG48qYbwe-CAC5Hi,2026:02:26 17:23:52 +01:00,2026-02-26T15:38:53Z,2699,40.063964,21.079554,1838,Pinde — Vasilitsa et Samarina,pinde-vasilitsa-samarina-interieur-de-cabane-grece-16.jpg,Interieur de cabane — Pinde — Vasilitsa et Samarina,"Interieur de cabane, pinde — vasilitsa et samarina, lors d’une itinérance à ski en Grèce.",Interieur de cabane dans les montagnes du pinde — vasilitsa et samarina.,"Itinérance à ski en Grèce : interieur de cabane, dans le secteur pinde — vasilitsa et samarina.",moyenne
DSC01096 (1).jpg,1F0F2UlcWVuT42avvsFUwtN81TnfdSmXh,2026:02:25 12:34:16 +01:00,2026-02-25T11:34:19Z,3,39.873878,21.173958,1957,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-ski-en-foret-de-pins-grece-17.jpg,Ski en foret de pins — Pinde — Périvoli et Vasilitsa,"Ski en foret de pins, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Ski en foret de pins dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : ski en foret de pins, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC01146 (2).jpg,1ZADIGU2yr9Rgfw1E1KoiYYlrzFwaxag9,2026:02:25 13:43:04 +01:00,2026-02-25T12:43:00Z,4,39.899872,21.164070,1889,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-skis-face-au-paysage-grece-18.jpg,Skis face au paysage — Pinde — Périvoli et Vasilitsa,"Skis face au paysage, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Skis face au paysage dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : skis face au paysage, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC00958 (1).jpg,1J0BJBaTVPBtXzdJsxsF78Wp7tQjNjtq4,2026:02:25 10:37:16 +01:00,2026-02-25T09:37:06Z,10,39.846357,21.178698,1910,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-pause-en-montagne-grece-19.jpg,Pause en montagne — Pinde — Périvoli et Vasilitsa,"Pause en montagne, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Pause en montagne dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : pause en montagne, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC00586 (1).jpg,1qdvoJ_WtSny3i-oNS8XyRL5LqgN7cmbg,2026:02:23 18:51:55 +01:00,2026-02-23T16:52:01Z,3594,39.682658,21.190687,1145,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-diner-en-refuge-grece-20.jpg,Diner en refuge — Tzoumerka — vallée de Matsouki,"Diner en refuge, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Diner en refuge dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : diner en refuge, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00763 (1).jpg,19IrYK9axfK4nNZbhe8zUJe65g0loFQ_a,2026:02:24 13:02:48 +01:00,2026-02-24T12:02:49Z,1,39.672356,21.118324,2050,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-grande-pente-de-neige-grece-21.jpg,Grande pente de neige — Tzoumerka — vallée de Matsouki,"Grande pente de neige, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Grande pente de neige dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : grande pente de neige, dans le secteur tzoumerka — vallée de matsouki.",forte
DSC01045 (1).jpg,1jzKi9ZulFLE5qfHj_uCm7hVjP_5OiBiu,2026:02:25 11:51:39 +01:00,2026-02-25T10:51:42Z,3,39.864225,21.169307,1901,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-virage-sous-les-pins-grece-22.jpg,Virage sous les pins — Pinde — Périvoli et Vasilitsa,"Virage sous les pins, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Virage sous les pins dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : virage sous les pins, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC01188 (1).jpg,1NbNOQHM4JpZ7uEu1tlKXYdzXcspUIwWp,2026:02:25 15:04:03 +01:00,2026-02-25T14:04:02Z,1,39.928737,21.149334,1846,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-pins-tortures-dans-la-neige-grece-23.jpg,Pins tortures dans la neige — Pinde — Périvoli et Vasilitsa,"Pins tortures dans la neige, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Pins tortures dans la neige dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : pins tortures dans la neige, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC01230 (1).jpg,1m1Q8StTVmX6hNX9dHyj6-2fOuN7deGH1,2026:02:25 17:20:49 +01:00,2026-02-25T16:20:43Z,6,39.925168,21.095830,2177,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-chapelle-givree-au-crepuscule-grece-24.jpg,Chapelle givree au crepuscule — Pinde — Périvoli et Vasilitsa,"Chapelle givree au crepuscule, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Chapelle givree au crepuscule dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : chapelle givree au crepuscule, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC01535 (1).jpg,1NAL4agotD8aryNBXhAo3J1LJddQE4-AY,2026:02:27 14:49:36 +01:00,2026-02-27T13:49:36Z,0,40.077119,21.027466,1123,Pinde — Smolikas et Pades,pinde-smolikas-pades-franchissement-de-riviere-grece-25.jpg,Franchissement de riviere — Pinde — Smolikas et Pades,"Franchissement de riviere, pinde — smolikas et pades, lors d’une itinérance à ski en Grèce.",Franchissement de riviere dans les montagnes du pinde — smolikas et pades.,"Itinérance à ski en Grèce : franchissement de riviere, dans le secteur pinde — smolikas et pades.",forte
DSC01560 (1).jpg,17DFZhn6_ovVcAI0Du4H_JeKpGm2JZB5J,2026:02:27 17:52:37 +01:00,2026-02-27T15:14:32Z,5885,40.103370,21.022315,1401,Pinde — Smolikas et Pades,pinde-smolikas-pades-tablee-au-refuge-grece-26.jpg,Tablee au refuge — Pinde — Smolikas et Pades,"Tablee au refuge, pinde — smolikas et pades, lors d’une itinérance à ski en Grèce.",Tablee au refuge dans les montagnes du pinde — smolikas et pades.,"Itinérance à ski en Grèce : tablee au refuge, dans le secteur pinde — smolikas et pades.",moyenne
DSC09564 (1).jpg,1285smexpGlUHCvJ2ljVP0e5c8-DYCi51,2026:02:22 06:28:04 +01:00,2026-02-22T07:20:51Z,6767,39.448492,21.227715,1033,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-silhouette-a-la-fenetre-grece-27.jpg,Silhouette a la fenetre — Tzoumerka — secteur Theodoriana,"Silhouette a la fenetre, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Silhouette a la fenetre dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : silhouette a la fenetre, dans le secteur tzoumerka — secteur theodoriana.",moyenne
DSC01784 (2026-03-09T14_54_26.507).JPG,1D3eTKti-lhRQaUoBpoOkY9acGOcNzGSN,2026:03:01 06:40:57 +01:00,2026-02-28T13:21:13Z,58784,40.041805,20.908466,1150,Pinde — Vasilitsa et Samarina,pinde-vasilitsa-samarina-ambiance-urbaine-grece-28.jpg,Ambiance urbaine — Pinde — Vasilitsa et Samarina,"Ambiance urbaine, pinde — vasilitsa et samarina, lors d’une itinérance à ski en Grèce.",Ambiance urbaine dans les montagnes du pinde — vasilitsa et samarina.,"Itinérance à ski en Grèce : ambiance urbaine, dans le secteur pinde — vasilitsa et samarina.",moyenne
DSC01780 (2026-03-02T05_35_46.718).jpg,1cocW05cfIr1_7saKciPS5e2elayrBsII,2026:02:28 13:57:53 +01:00,2026-02-28T12:57:51Z,2,40.051596,20.904546,1395,Pinde — Vasilitsa et Samarina,pinde-vasilitsa-samarina-marcheurs-au-depart-grece-29.jpg,Marcheurs au depart — Pinde — Vasilitsa et Samarina,"Marcheurs au depart, pinde — vasilitsa et samarina, lors d’une itinérance à ski en Grèce.",Marcheurs au depart dans les montagnes du pinde — vasilitsa et samarina.,"Itinérance à ski en Grèce : marcheurs au depart, dans le secteur pinde — vasilitsa et samarina.",forte
DSC01514 (2026-03-02T05_35_43.266).jpg,1gNCdWjI9X9gJnyJ5DK2lm_9NZhH00jgS,2026:02:27 13:58:14 +01:00,2026-02-27T12:58:17Z,3,40.067674,21.025279,1472,Pinde — Vasilitsa et Samarina,pinde-vasilitsa-samarina-pin-sur-crete-grece-30.jpg,Pin sur crete — Pinde — Vasilitsa et Samarina,"Pin sur crete, pinde — vasilitsa et samarina, lors d’une itinérance à ski en Grèce.",Pin sur crete dans les montagnes du pinde — vasilitsa et samarina.,"Itinérance à ski en Grèce : pin sur crete, dans le secteur pinde — vasilitsa et samarina.",forte
DSC01730 (1) (2026-03-02T05_35_39.987).jpg,15i0z6ScNCDTU9a_-nUqjHdvcfJHd4zSk,2026:02:28 11:27:30 +01:00,2026-02-28T10:27:29Z,1,40.083021,20.928007,2325,Pinde — Smolikas et Pades,pinde-smolikas-pades-groupe-en-traversee-grece-31.jpg,Groupe en traversee — Pinde — Smolikas et Pades,"Groupe en traversee, pinde — smolikas et pades, lors d’une itinérance à ski en Grèce.",Groupe en traversee dans les montagnes du pinde — smolikas et pades.,"Itinérance à ski en Grèce : groupe en traversee, dans le secteur pinde — smolikas et pades.",forte
DSC01148 (2026-03-02T05_35_37.559).jpg,1oRqel7tjhMVYA5hT5fqa9ZnHz_VWwiqK,2026:02:25 13:43:11 +01:00,2026-02-25T12:43:21Z,10,39.899872,21.164070,1889,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-pente-au-dessus-des-pins-grece-32.jpg,Pente au dessus des pins — Pinde — Périvoli et Vasilitsa,"Pente au dessus des pins, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Pente au dessus des pins dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : pente au dessus des pins, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC01363 (2026-03-02T05_35_36.119).jpg,1Q6yEgb_8V8vImrIndM-mh9kPqq4ijac-,2026:02:26 13:19:28 +01:00,2026-02-26T12:19:27Z,1,40.023097,21.097384,1794,Pinde — Vasilitsa et Samarina,pinde-vasilitsa-samarina-skieur-dans-la-poudreuse-grece-33.jpg,Skieur dans la poudreuse — Pinde — Vasilitsa et Samarina,"Skieur dans la poudreuse, pinde — vasilitsa et samarina, lors d’une itinérance à ski en Grèce.",Skieur dans la poudreuse dans les montagnes du pinde — vasilitsa et samarina.,"Itinérance à ski en Grèce : skieur dans la poudreuse, dans le secteur pinde — vasilitsa et samarina.",forte
DSC01212 (2026-03-02T05_35_34.587).jpg,1gMGNdznMX3GTYzA31j_urMvnU-cUdpZk,2026:02:25 15:29:47 +01:00,2026-02-25T14:29:44Z,3,39.925529,21.134990,1681,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-vue-vers-les-vallees-grece-34.jpg,Vue vers les vallees — Pinde — Périvoli et Vasilitsa,"Vue vers les vallees, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Vue vers les vallees dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : vue vers les vallees, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC00770 (2026-03-02T05_35_32.182).jpg,1spyfVztwwa10tv2u1kHn-yPovKyBFPHV,2026:02:24 13:27:50 +01:00,2026-02-24T12:27:49Z,1,39.683016,21.117605,2080,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-grande-traversee-a-ski-grece-35.jpg,Grande traversee a ski — Tzoumerka — vallée de Matsouki,"Grande traversee a ski, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Grande traversee a ski dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : grande traversee a ski, dans le secteur tzoumerka — vallée de matsouki.",forte
DSC00869 (2026-03-02T05_35_31.116).jpg,1w179GkZvzKadPY6lXxjOTke0Sf4X9pkl,2026:02:24 15:24:11 +01:00,2026-02-24T14:24:10Z,1,39.704780,21.142944,1526,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-skieurs-au-dessus-du-vallon-grece-36.jpg,Skieurs au dessus du vallon — Tzoumerka — vallée de Matsouki,"Skieurs au dessus du vallon, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Skieurs au dessus du vallon dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : skieurs au dessus du vallon, dans le secteur tzoumerka — vallée de matsouki.",forte
DSC00911 (2026-03-02T05_35_29.982).jpg,1wdFEgl4-MRphiu-SNQeMyefDrL3ekfpD,2026:02:25 08:25:50 +01:00,2026-02-25T08:16:56Z,3066,39.835832,21.196351,1525,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-scene-de-village-grece-37.jpg,Scene de village — Pinde — Périvoli et Vasilitsa,"Scene de village, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Scene de village dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : scene de village, dans le secteur pinde — périvoli et vasilitsa.",moyenne
DSC00536 (2026-03-02T05_35_28.541).jpg,1jM3un-r3Wn_HCGWGLMHtGa1J7_M7QxCH,2026:02:23 17:33:55 +01:00,2026-02-23T16:33:55Z,0,39.678771,21.184417,1156,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-village-au-creux-des-montagnes-grece-38.jpg,Village au creux des montagnes — Tzoumerka — vallée de Matsouki,"Village au creux des montagnes, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Village au creux des montagnes dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : village au creux des montagnes, dans le secteur tzoumerka — vallée de matsouki.",forte
DSC00553 (2026-03-02T05_35_27.409).jpg,1rixStVShdSK53USrPFEzw6UWIsrQiH_h,2026:02:23 18:06:43 +01:00,2026-02-23T16:52:01Z,882,39.682658,21.190687,1145,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-refuge-et-hospitalite-grece-39.jpg,Refuge et hospitalite — Tzoumerka — vallée de Matsouki,"Refuge et hospitalite, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Refuge et hospitalite dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : refuge et hospitalite, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00471 (2026-03-02T05_35_22.978).jpg,1XX7B5K8i2rnvWU33OtdYPIK6IO45pyBa,2026:02:23 14:22:09 +01:00,2026-02-23T13:22:08Z,1,39.630463,21.153461,1880,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-pente-enneigee-au-dessus-des-vallees-grece-40.jpg,Pente enneigee au dessus des vallees — Tzoumerka — vallée de Matsouki,"Pente enneigee au dessus des vallees, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Pente enneigee au dessus des vallees dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : pente enneigee au dessus des vallees, dans le secteur tzoumerka — vallée de matsouki.",forte
DSC00996 (2026-03-02T05_35_20.981).jpg,1VMVFxFvgj1XV1ZvX9LLgd5jzbVrsoO-6,2026:02:25 10:55:22 +01:00,2026-02-25T09:55:18Z,4,39.852914,21.171913,1933,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-pins-en-neige-profonde-grece-41.jpg,Pins en neige profonde — Pinde — Périvoli et Vasilitsa,"Pins en neige profonde, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Pins en neige profonde dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : pins en neige profonde, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC01003 (2026-03-02T05_35_19.907).jpg,1bi4MmC-k17HUahTQIC2_z68LIdCQOYVd,2026:02:25 11:17:43 +01:00,2026-02-25T10:17:41Z,2,39.857560,21.166043,2037,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-skieurs-sur-versant-grece-42.jpg,Skieurs sur versant — Pinde — Périvoli et Vasilitsa,"Skieurs sur versant, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Skieurs sur versant dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : skieurs sur versant, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC00737 (2026-03-02T05_35_16.939).jpg,1vFcIP1pxgMSK3n6Q9tfqaM7ES0DrhdJg,2026:02:24 12:26:21 +01:00,2026-02-24T11:26:23Z,2,39.673544,21.131488,1976,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-traversee-sur-neige-vierge-grece-43.jpg,Traversee sur neige vierge — Tzoumerka — vallée de Matsouki,"Traversee sur neige vierge, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Traversee sur neige vierge dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : traversee sur neige vierge, dans le secteur tzoumerka — vallée de matsouki.",forte
