type;id;titre;ancienne_url;nouvelle_url_cible;action
page;2483;"Contact";https://lesgrandsraidsaski.com/contact/;https://lesgrandsraidsaski.com/contact/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;2578;"Yann Borgnet — Guide de haute montagne";https://lesgrandsraidsaski.com/yann-borgnet-guide-haute-montagne/;https://lesgrandsraidsaski.com/yann-borgnet-guide-haute-montagne/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;2599;"TRANSITION — Un raid anthropologique dans le Queyras";https://lesgrandsraidsaski.com/transition-raid-anthropologique-queyras/;https://lesgrandsraidsaski.com/transition-raid-anthropologique-queyras/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;3236;"Voyage ski de randonnée";https://lesgrandsraidsaski.com/voyage-ski-randonnee/;https://lesgrandsraidsaski.com/voyage-ski-randonnee/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;302;"Envers Mont-Blanc #1";https://lesgrandsraidsaski.com/envers-mont-blanc-1/;https://lesgrandsraidsaski.com/envers-mont-blanc-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;481;"Grand Paradis #1";https://lesgrandsraidsaski.com/grand-paradis-1/;https://lesgrandsraidsaski.com/grand-paradis-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;504;"Valpelline #1";https://lesgrandsraidsaski.com/valpelline-1/;https://lesgrandsraidsaski.com/valpelline-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;517;"Valpelline #2";https://lesgrandsraidsaski.com/valpelline-2/;https://lesgrandsraidsaski.com/valpelline-2/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;527;"Valpelline #3";https://lesgrandsraidsaski.com/valpelline-3/;https://lesgrandsraidsaski.com/valpelline-3/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;547;"Valpelline #4";https://lesgrandsraidsaski.com/valpelline-4/;https://lesgrandsraidsaski.com/valpelline-4/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;560;"Lauzière #1";https://lesgrandsraidsaski.com/lauziere-1/;https://lesgrandsraidsaski.com/lauziere-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;579;"Bornes #1";https://lesgrandsraidsaski.com/les-bornes-1/;https://lesgrandsraidsaski.com/les-bornes-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;591;"Bornes #2";https://lesgrandsraidsaski.com/bornes-2/;https://lesgrandsraidsaski.com/bornes-2/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;598;"Aston #1";https://lesgrandsraidsaski.com/aston-1/;https://lesgrandsraidsaski.com/aston-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;615;"Beaufortain #1";https://lesgrandsraidsaski.com/beaufortain-1/;https://lesgrandsraidsaski.com/beaufortain-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;621;"Vanoise #W1";https://lesgrandsraidsaski.com/vanoise-w1/;https://lesgrandsraidsaski.com/vanoise-w1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;627;"Vanoise #1";https://lesgrandsraidsaski.com/vanoise-1/;https://lesgrandsraidsaski.com/vanoise-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;640;"Vanoise #2";https://lesgrandsraidsaski.com/vanoise-2/;https://lesgrandsraidsaski.com/vanoise-2/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;738;"Thabor - Clarée #W1";https://lesgrandsraidsaski.com/thabor-claree-w1/;https://lesgrandsraidsaski.com/thabor-claree-w1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;749;"Vercors  #2";https://lesgrandsraidsaski.com/vercors-sud-1/;https://lesgrandsraidsaski.com/vercors-sud-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;762;"Mont-Blanc #W2";https://lesgrandsraidsaski.com/mont-blanc-w2/;https://lesgrandsraidsaski.com/mont-blanc-w2/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;788;"Alpes Valaisannes #W1";https://lesgrandsraidsaski.com/alpes-valaisannes-w1/;https://lesgrandsraidsaski.com/alpes-valaisannes-w1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;802;"Clarée - Thabor #W1";https://lesgrandsraidsaski.com/claree-thabor-1/;https://lesgrandsraidsaski.com/claree-thabor-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;814;"Valpelline #W1";https://lesgrandsraidsaski.com/valpelline-w1/;https://lesgrandsraidsaski.com/valpelline-w1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;821;"Vercors #1";https://lesgrandsraidsaski.com/vercors-1/;https://lesgrandsraidsaski.com/vercors-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;830;"Vanoise #1";https://lesgrandsraidsaski.com/vanoise-1-2/;https://lesgrandsraidsaski.com/vanoise-1-2/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;837;"Beaufortain #2";https://lesgrandsraidsaski.com/beaufortain-1-2/;https://lesgrandsraidsaski.com/beaufortain-1-2/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;844;"Beaufortain #4";https://lesgrandsraidsaski.com/beaufortain-2/;https://lesgrandsraidsaski.com/beaufortain-2/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;851;"Beaufortain #3";https://lesgrandsraidsaski.com/beaufortain-3/;https://lesgrandsraidsaski.com/beaufortain-3/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;948;"Découverte Glace #1";https://lesgrandsraidsaski.com/decouverte-glace-1/;https://lesgrandsraidsaski.com/decouverte-glace-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;984;"Progression Glace #1";https://lesgrandsraidsaski.com/progression-glace-1/;https://lesgrandsraidsaski.com/progression-glace-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;996;"Progression Glace #2";https://lesgrandsraidsaski.com/progression-glace-2/;https://lesgrandsraidsaski.com/progression-glace-2/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1173;"Grand Paradis #W1";https://lesgrandsraidsaski.com/grand-paradis-w1/;https://lesgrandsraidsaski.com/grand-paradis-w1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1320;"Mont-Blanc #W1";https://lesgrandsraidsaski.com/mont-blanc-w1/;https://lesgrandsraidsaski.com/mont-blanc-w1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1334;"Écrins Ouest #1";https://lesgrandsraidsaski.com/ecrins-ouest-1/;https://lesgrandsraidsaski.com/ecrins-ouest-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1348;"Arves #W1";https://lesgrandsraidsaski.com/arves-w1/;https://lesgrandsraidsaski.com/arves-w1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1359;"Mont-Blanc #1";https://lesgrandsraidsaski.com/mont-blanc-1/;https://lesgrandsraidsaski.com/mont-blanc-1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1391;"Belledonne #W1";https://lesgrandsraidsaski.com/belledonne-w1/;https://lesgrandsraidsaski.com/belledonne-w1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1414;"Beaufortain #W1";https://lesgrandsraidsaski.com/beaufortain-w1/;https://lesgrandsraidsaski.com/beaufortain-w1/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1423;"Vanoise #W2";https://lesgrandsraidsaski.com/vanoise-w2/;https://lesgrandsraidsaski.com/vanoise-w2/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1465;"Vanoise #1";https://lesgrandsraidsaski.com/vanoise-1-3/;https://lesgrandsraidsaski.com/vanoise-1-3/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1486;"À l'approche du Luseney";https://lesgrandsraidsaski.com/luseney/;https://lesgrandsraidsaski.com/luseney/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1624;"KOSOVO";https://lesgrandsraidsaski.com/kosovo/;https://lesgrandsraidsaski.com/kosovo/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1735;"GÉORGIE";https://lesgrandsraidsaski.com/georgie-raid-ski-rando-traversee/;https://lesgrandsraidsaski.com/georgie-raid-ski-rando-traversee/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;1885;"KAZAKHSTAN";https://lesgrandsraidsaski.com/raid-ski-kazakhstan-ile-alatau/;https://lesgrandsraidsaski.com/raid-ski-kazakhstan-ile-alatau/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2015;"MONTÉNÉGRO 2026";https://lesgrandsraidsaski.com/montenegro-2026/;https://lesgrandsraidsaski.com/montenegro-2026/;À TRANCHER PAR YANN : id 2015 (ancien post) et id 2137 (/traversee-prokletije-ski-montenegro/, déjà reconstruit en Astro) portent le même titre WordPress — contenu doublon/obsolète à rediriger vers le nouveau, ou page distincte à conserver et reconstruire ? En attendant, conserver exactement l’URL.
post;2026;"GRÈCE 2026";https://lesgrandsraidsaski.com/grece-2026/;https://lesgrandsraidsaski.com/grece-2026/;À TRANCHER PAR YANN : id 2026 (ancien post) et id 2209 (/raid-ski-grece-tzoumerka-pinde/, déjà reconstruit en Astro) portent le même titre WordPress — contenu doublon/obsolète à rediriger vers le nouveau, ou page distincte à conserver et reconstruire ? En attendant, conserver exactement l’URL.
post;2077;"MAROC";https://lesgrandsraidsaski.com/maroc/;https://lesgrandsraidsaski.com/maroc/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2137;"MONTÉNÉGRO 2026";https://lesgrandsraidsaski.com/traversee-prokletije-ski-montenegro/;https://lesgrandsraidsaski.com/traversee-prokletije-ski-montenegro/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2209;"GRÈCE 2026";https://lesgrandsraidsaski.com/raid-ski-grece-tzoumerka-pinde/;https://lesgrandsraidsaski.com/raid-ski-grece-tzoumerka-pinde/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2345;"GÉORGIE — PETIT CAUCASE 2027";https://lesgrandsraidsaski.com/ski-randonnee-georgie-petit-caucase-2027/;https://lesgrandsraidsaski.com/ski-randonnee-georgie-petit-caucase-2027/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2346;"OUZBÉKISTAN — HISSAR 2027";https://lesgrandsraidsaski.com/ski-randonnee-ouzbekistan-traversee-baysun/;https://lesgrandsraidsaski.com/ski-randonnee-ouzbekistan-traversee-baysun/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2347;"ARMÉNIE — SEVAN À L’ARAGATS 2027";https://lesgrandsraidsaski.com/ski-randonnee-armenie-sevan-aragats-2027/;https://lesgrandsraidsaski.com/ski-randonnee-armenie-sevan-aragats-2027/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2348;"RAID À SKI MÉDITERRANÉEN 2027";https://lesgrandsraidsaski.com/raid-ski-mediterraneen-2027/;https://lesgrandsraidsaski.com/raid-ski-mediterraneen-2027/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2349;"TADJIKISTAN — VALLÉES DU ZERAVSHAN 2027";https://lesgrandsraidsaski.com/ski-randonnee-tadjikistan-zeravshan-2027/;https://lesgrandsraidsaski.com/ski-randonnee-tadjikistan-zeravshan-2027/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2489;"ALPES LIGURES";https://lesgrandsraidsaski.com/alpes-ligures-traversee-ski-randonnee/;https://lesgrandsraidsaski.com/alpes-ligures-traversee-ski-randonnee/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2498;"ARGENTERA — MERCANTOUR";https://lesgrandsraidsaski.com/traversee-ski-argentera-mercantour/;https://lesgrandsraidsaski.com/traversee-ski-argentera-mercantour/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;2611;"SARDAIGNE — GRANDES VOIES 2026";https://lesgrandsraidsaski.com/escalade-grandes-voies-sardaigne-octobre-2026/;https://lesgrandsraidsaski.com/escalade-grandes-voies-sardaigne-octobre-2026/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
post;3113;"BERNINA — TOUR DU MASSIF";https://lesgrandsraidsaski.com/bernina-tour-massif-ski-randonnee/;https://lesgrandsraidsaski.com/bernina-tour-massif-ski-randonnee/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
