source,fichier_web,DateTimeOriginal,fuseau,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,action,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web
DSC09008_1 (1).jpg,autriche-otztal-ski-randonnee-descente-ski-poudreuse-12.jpg,2024:04:29 11:32:11,+02:00,46.7972012,10.8519871,1,élevée,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",descente à ski en poudreuse,Descente à ski en poudreuse — Alpes de l’Ötztal,"Skieur déclenchant un virage dans une grande pente blanche, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Descente à ski en poudreuse pendant le tour à ski de l’Ötztal.,"Skieur déclenchant un virage dans une grande pente blanche. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.797201, 10.851987, écart temporel 1 secondes.",True,491441,193347
DSC09012 (1).jpg,autriche-otztal-ski-randonnee-virage-poudreuse-glacier-13.jpg,2024:04:29 11:32:13,+02:00,46.7972012,10.8519871,1,élevée,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",virage en poudreuse sur le glacier,Virage en poudreuse sur le glacier — Alpes de l’Ötztal,"Skieur descendant une combe glaciaire avec les sommets en arrière-plan, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Virage en poudreuse sur le glacier pendant le tour à ski de l’Ötztal.,"Skieur descendant une combe glaciaire avec les sommets en arrière-plan. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.797201, 10.851987, écart temporel 1 secondes.",True,509086,209959
DSC09027 (1).jpg,autriche-otztal-ski-randonnee-skieur-combe-glaciaire-14.jpg,2024:04:29 11:34:13,+02:00,46.7972012,10.8519871,1,élevée,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",descente dans une combe glaciaire,Descente dans une combe glaciaire — Alpes de l’Ötztal,"Skieur traçant une vaste combe enneigée, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Descente dans une combe glaciaire pendant le tour à ski de l’Ötztal.,"Skieur traçant une vaste combe enneigée. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.797201, 10.851987, écart temporel 1 secondes.",True,481778,194109
DSC09056 (1).jpg,autriche-otztal-ski-randonnee-terrasse-hochjoch-hospiz-15.jpg,2024:04:29 14:23:18,+02:00,46.8251388,10.8339701,3573,faible,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",arrivée sur la terrasse du Hochjoch Hospiz,Arrivée sur la terrasse du hochjoch hospiz — Alpes de l’Ötztal,"Skis posés sur la terrasse du refuge face aux montagnes, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Arrivée sur la terrasse du hochjoch hospiz pendant le tour à ski de l’Ötztal.,"Skis posés sur la terrasse du refuge face aux montagnes. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.825139, 10.833970, écart temporel 3573 secondes.",True,762538,342307
DSC09069 (1).jpg,autriche-otztal-ski-randonnee-soiree-refuge-frontale-16.jpg,2024:04:29 20:37:51,+02:00,46.8251388,10.8339701,26046,faible,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",soirée au refuge,Soirée au refuge — Alpes de l’Ötztal,"Compagnons réunis à la lueur de la frontale, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Soirée au refuge pendant le tour à ski de l’Ötztal.,"Compagnons réunis à la lueur de la frontale. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.825139, 10.833970, écart temporel 26046 secondes.",True,354523,107293
DSC09076_1.jpg,autriche-otztal-ski-randonnee-depart-matinal-hochjoch-17.jpg,2024:04:30 07:17:56,+02:00,46.8251906,10.8340476,2,élevée,"étape Hochjoch Hospiz – Vernagthütte, Alpes de l’Ötztal, Tyrol, Autriche",départ matinal du Hochjoch Hospiz,Départ matinal du hochjoch hospiz — Alpes de l’Ötztal,"Groupe progressant à ski dans la lumière du matin, étape Hochjoch Hospiz – Vernagthütte, dans les Alpes de l’Ötztal en Autriche.",Départ matinal du hochjoch hospiz pendant le tour à ski de l’Ötztal.,"Groupe progressant à ski dans la lumière du matin. Étape hochjoch hospiz – vernagthütte. Point GPX le plus proche : 46.825191, 10.834048, écart temporel 2 secondes.",True,619662,267649
DSC09097_1.jpg,autriche-otztal-ski-randonnee-groupe-montee-col-18.jpg,2024:04:30 07:48:41,+02:00,46.8268492,10.828845,0,élevée,"étape Hochjoch Hospiz – Vernagthütte, Alpes de l’Ötztal, Tyrol, Autriche",montée du groupe vers le col,Montée du groupe vers le col — Alpes de l’Ötztal,"Skieurs gravissant une pente ensoleillée, étape Hochjoch Hospiz – Vernagthütte, dans les Alpes de l’Ötztal en Autriche.",Montée du groupe vers le col pendant le tour à ski de l’Ötztal.,"Skieurs gravissant une pente ensoleillée. Étape hochjoch hospiz – vernagthütte. Point GPX le plus proche : 46.826849, 10.828845, écart temporel 0 secondes.",True,650128,295202
DSC09102_1.jpg,autriche-otztal-ski-randonnee-traversee-vers-vernagt-19.jpg,2024:04:30 08:08:23,+02:00,46.8297827,10.828404,2,élevée,"étape Hochjoch Hospiz – Vernagthütte, Alpes de l’Ötztal, Tyrol, Autriche",traversée à ski vers Vernagthütte,Traversée à ski vers vernagthütte — Alpes de l’Ötztal,"Skieur avançant au-dessus des glaciers de l’ötztal, étape Hochjoch Hospiz – Vernagthütte, dans les Alpes de l’Ötztal en Autriche.",Traversée à ski vers vernagthütte pendant le tour à ski de l’Ötztal.,"Skieur avançant au-dessus des glaciers de l’ötztal. Étape hochjoch hospiz – vernagthütte. Point GPX le plus proche : 46.829783, 10.828404, écart temporel 2 secondes.",True,697293,325699
DSC09120 (1).jpg,autriche-otztal-ski-randonnee-groupe-glacier-vernagt-20.jpg,2024:04:30 08:23:06,+02:00,46.8313116,10.8242638,0,élevée,"étape Hochjoch Hospiz – Vernagthütte, Alpes de l’Ötztal, Tyrol, Autriche",groupe sur le glacier de Vernagt,Groupe sur le glacier de vernagt — Alpes de l’Ötztal,"Skieurs progressant dans un vaste paysage glaciaire, étape Hochjoch Hospiz – Vernagthütte, dans les Alpes de l’Ötztal en Autriche.",Groupe sur le glacier de vernagt pendant le tour à ski de l’Ötztal.,"Skieurs progressant dans un vaste paysage glaciaire. Étape hochjoch hospiz – vernagthütte. Point GPX le plus proche : 46.831312, 10.824264, écart temporel 0 secondes.",True,688825,326756
DSC09227.jpg,autriche-otztal-ski-randonnee-traversee-pente-raide-21.jpg,2024:04:30 12:58:46,+02:00,46.8823421,10.8505081,2,élevée,"étape Hochjoch Hospiz – Vernagthütte, Alpes de l’Ötztal, Tyrol, Autriche",traversée d’une pente raide,Traversée d’une pente raide — Alpes de l’Ötztal,"Skieur franchissant un versant neigeux et rocheux, étape Hochjoch Hospiz – Vernagthütte, dans les Alpes de l’Ötztal en Autriche.",Traversée d’une pente raide pendant le tour à ski de l’Ötztal.,"Skieur franchissant un versant neigeux et rocheux. Étape hochjoch hospiz – vernagthütte. Point GPX le plus proche : 46.882342, 10.850508, écart temporel 2 secondes.",True,873296,385446
DSC09247 (1).jpg,autriche-otztal-ski-randonnee-cuisine-vernagthutte-22.jpg,2024:04:30 13:55:38,+02:00,46.8682319,10.8796065,2,élevée,"étape Hochjoch Hospiz – Vernagthütte, Alpes de l’Ötztal, Tyrol, Autriche",préparation du repas à Vernagthütte,Préparation du repas à vernagthütte — Alpes de l’Ötztal,"Compagnon cuisinant dans la salle en bois du refuge, étape Hochjoch Hospiz – Vernagthütte, dans les Alpes de l’Ötztal en Autriche.",Préparation du repas à vernagthütte pendant le tour à ski de l’Ötztal.,"Compagnon cuisinant dans la salle en bois du refuge. Étape hochjoch hospiz – vernagthütte. Point GPX le plus proche : 46.868232, 10.879606, écart temporel 2 secondes.",True,825009,375557
DSC09267.jpg,autriche-otztal-ski-randonnee-descente-passage-rocheux-23.jpg,2024:05:01 05:41:41,+02:00,46.8681331,10.879565,244,élevée,"étape Vernagthütte – Sölden, Alpes de l’Ötztal, Tyrol, Autriche",descente dans un passage rocheux,Descente dans un passage rocheux — Alpes de l’Ötztal,"Skieur négociant une pente entre les rochers, étape Vernagthütte – Sölden, dans les Alpes de l’Ötztal en Autriche.",Descente dans un passage rocheux pendant le tour à ski de l’Ötztal.,"Skieur négociant une pente entre les rochers. Étape vernagthütte – sölden. Point GPX le plus proche : 46.868133, 10.879565, écart temporel 244 secondes.",True,560196,242379
DSC09274 (1).jpg,autriche-otztal-ski-randonnee-groupe-retour-solden-24.jpg,2024:05:01 07:09:15,+02:00,46.8809274,10.8850281,1,élevée,"étape Vernagthütte – Sölden, Alpes de l’Ötztal, Tyrol, Autriche",retour à ski vers Sölden,Retour à ski vers sölden — Alpes de l’Ötztal,"Deux skieurs traversant un plateau face aux sommets, étape Vernagthütte – Sölden, dans les Alpes de l’Ötztal en Autriche.",Retour à ski vers sölden pendant le tour à ski de l’Ötztal.,"Deux skieurs traversant un plateau face aux sommets. Étape vernagthütte – sölden. Point GPX le plus proche : 46.880927, 10.885028, écart temporel 1 secondes.",True,657236,292425
DSC09282_1.jpg,autriche-otztal-ski-randonnee-skieurs-immensite-blanche-25.jpg,2024:05:01 08:43:37,+02:00,46.8899123,10.8785396,2,élevée,"étape Vernagthütte – Sölden, Alpes de l’Ötztal, Tyrol, Autriche",skieurs dans l’immensité blanche,Skieurs dans l’immensité blanche — Alpes de l’Ötztal,"Deux silhouettes progressant dans un vaste paysage enneigé, étape Vernagthütte – Sölden, dans les Alpes de l’Ötztal en Autriche.",Skieurs dans l’immensité blanche pendant le tour à ski de l’Ötztal.,"Deux silhouettes progressant dans un vaste paysage enneigé. Étape vernagthütte – sölden. Point GPX le plus proche : 46.889912, 10.878540, écart temporel 2 secondes.",True,390344,151714
